Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD
2020-12-31;513,97;23,27;4,74%;492,34;491,29;536,37;63.396.819;32.536.552.523,94
2020-11-30;490,7;14,96;3,14%;478,87;463,41;518,73;91.810.136;44.709.621.280,73
2020-10-31;475,74;-24,29;-4,86%;506,03;472,21;572,49;154.319.302;79.419.866.655,98
2020-09-30;500,03;-29,53;-5,58%;532,6;458,6;557,39;118.814.502;59.324.327.878,43
2020-08-31;529,56;40,68;8,32%;490,86;466,55;549,04;116.272.444;58.591.888.031,45
2020-07-31;488,88;33,84;7,44%;454;454;575,37;232.227.670;117.238.807.705,26
2020-06-30;455,04;35,31;8,41%;418,83;404,25;474,01;117.293.703;51.444.048.570,74
2020-05-31;419,73;-0,12;-0,03%;415,1;397,86;458,97;135.096.621;58.408.723.129,12
2020-04-30;419,85;44,35;11,81%;376,05;357,51;449,52;225.161.942;92.932.020.377,96
2020-03-31;375,5;6,47;1,75%;373,11;290,25;393,52;202.007.230;70.378.280.658,44
2020-02-29;369,03;23,94;6,94%;347,24;346,28;392,95;114.109.315;42.590.525.022,17
2020-01-31;345,09;21,52;6,65%;326,1;321,2;359,85;169.799.016;57.580.704.302,83
2019-12-31;323,57;8,91;2,83%;314,39;292,02;338;125.111.575;39.406.309.642,33
2019-11-30;314,66;27,25;9,48%;288,7;281,14;316,82;113.765.792;33.964.544.543,41
2019-10-31;287,41;19,79;7,39%;267,35;257,01;308,75;235.291.865;66.063.888.110,82
2019-09-30;267,62;-26,13;-8,90%;290,82;252,28;301,55;176.233.042;48.964.713.802,11
2019-08-31;293,75;-29,24;-9,05%;324,25;287,2;328,58;137.404.786;41.638.074.269,60
2019-07-31;322,99;-44,33;-12,07%;373,5;305,81;384,76;196.691.550;66.547.471.846,79
2019-06-30;367,32;24,04;7,00%;343,56;332,65;375;111.051.934;39.546.027.433,40
2019-05-31;343,28;-27,26;-7,36%;374;341,39;385,99;125.298.454;45.181.927.815,59
2019-04-30;370,54;13,98;3,92%;359;342,27;384,8;165.087.220;60.073.125.271,49
2019-03-31;356,56;-1,54;-0,43%;362,26;342,47;379;144.841.905;52.168.595.763,89
2019-02-28;358,1;18,6;5,48%;337,18;336,5;371,49;148.192.110;52.645.489.550,64
2019-01-31;339,5;71,84;26,84%;259,28;256,58;358,85;306.630.336;99.776.181.479,42
2018-12-31;267,66;-18,47;-6,46%;293,19;231,23;298,72;234.304.628;62.186.481.171,02
2018-11-30;286,13;-15,65;-5,19%;304,59;250;332,05;257.126.498;74.611.541.054,64
2018-10-31;301,78;-72,35;-19,34%;375,85;271,21;386,8;363.589.920;120.832.641.038,41
2018-09-30;374,13;6,45;1,75%;366,47;335,83;383,2;170.832.156;61.992.964.348,96
2018-08-31;367,68;30,23;8,96%;335,87;310,93;376,81;213.144.082;73.852.829.501,34
2018-07-31;337,45;-53,98;-13,79%;385,45;328;419,77;305.487.432;115.115.257.767,27
2018-06-30;391,43;39,83;11,33%;353,88;352,82;423,21;244.032.001;95.138.132.223,87
2018-05-31;351,6;39,14;12,53%;310,36;305,73;356,1;142.051.114;47.343.663.039,00
2018-04-30;312,46;17,11;5,79%;291,94;271,22;338,82;262.064.417;81.014.009.458,66
2018-03-31;295,35;3,97;1,36%;292,75;275,9;333,98;263.449.491;81.777.685.701,52
2018-02-28;291,38;21,08;7,80%;266,41;236,11;297,36;184.585.819;49.893.623.319,65
2018-01-31;270,3;78,34;40,81%;196,1;195,42;286,81;238.377.533;57.209.459.574,89
