Exchange Date;Close;Net;%Chg;Open;Low;High;
2020-12-31;3.703,06;81,43;2,25%;3.645,87;3.633,40;3.726,70;
2020-11-30;3.621,63;351,67;10,75%;3.296,20;3.279,74;3.645,99;
2020-10-31;3.269,96;-93,04;-2,77%;3.385,87;3.233,94;3.549,85;
2020-09-30;3.363,00;-137,31;-3,92%;3.507,44;3.209,45;3.588,11;
2020-08-31;3.500,31;229,19;7,01%;3.288,26;3.284,53;3.514,77;
2020-07-31;3.271,12;170,83;5,51%;3.105,92;3.101,17;3.279,99;
2020-06-30;3.100,29;55,98;1,84%;3.038,78;2.965,66;3.233,13;
2020-05-31;3.044,31;131,88;4,53%;2.869,09;2.766,64;3.068,67;
2020-04-30;2.912,43;327,84;12,68%;2.498,08;2.447,49;2.954,86;
2020-03-31;2.584,59;-369,63;-12,51%;2.974,28;2.191,86;3.136,72;
2020-02-29;2.954,22;-271,3;-8,41%;3.235,66;2.855,84;3.393,52;
2020-01-31;3.225,52;-5,26;-0,16%;3.244,67;3.214,64;3.337,77;
2019-12-31;3.230,78;89,8;2,86%;3.143,85;3.070,33;3.247,93;
2019-11-30;3.140,98;103,42;3,40%;3.050,72;3.050,72;3.154,26;
2019-10-31;3.037,56;60,82;2,04%;2.983,69;2.855,94;3.050,10;
2019-09-30;2.976,74;50,28;1,72%;2.909,01;2.891,85;3.021,99;
2019-08-31;2.926,46;-53,92;-1,81%;2.980,32;2.822,12;3.013,59;
2019-07-31;2.980,38;38,62;1,31%;2.971,41;2.952,22;3.027,98;
2019-06-30;2.941,76;189,7;6,89%;2.751,53;2.728,81;2.964,15;
2019-05-31;2.752,06;-193,77;-6,58%;2.952,33;2.750,52;2.954,13;
2019-04-30;2.945,83;111,43;3,93%;2.848,63;2.848,63;2.949,52;
2019-03-31;2.834,40;49,91;1,79%;2.798,22;2.722,27;2.860,31;
2019-02-28;2.784,49;80,39;2,97%;2.702,32;2.681,83;2.813,49;
2019-01-31;2.704,10;197,25;7,87%;2.476,96;2.443,96;2.708,95;
2018-12-31;2.506,85;-253,32;-9,18%;2.790,50;2.346,58;2.800,18;
2018-11-30;2.760,17;48,43;1,79%;2.717,58;2.631,09;2.815,15;
2018-10-31;2.711,74;-202,24;-6,94%;2.926,29;2.603,54;2.939,86;
2018-09-30;2.913,98;12,46;0,43%;2.896,96;2.864,12;2.940,91;
2018-08-31;2.901,52;85,23;3,03%;2.821,17;2.796,34;2.916,50;
2018-07-31;2.816,29;97,92;3,60%;2.704,95;2.698,95;2.848,03;
2018-06-30;2.718,37;13,1;0,48%;2.718,70;2.691,99;2.791,47;
2018-05-31;2.705,27;57,22;2,16%;2.643,64;2.594,62;2.742,24;
2018-04-30;2.648,05;7,18;0,27%;2.633,45;2.553,80;2.717,49;
2018-03-31;2.640,87;-72,96;-2,69%;2.715,22;2.585,89;2.801,90;
2018-02-28;2.713,83;-109,98;-3,89%;2.816,45;2.532,69;2.835,96;
2018-01-31;2.823,81;150,2;5,62%;2.683,73;2.682,36;2.872,87;
2017-12-31;2.673,61;26,03;0,98%;2.645,10;2.605,52;2.694,97;
2017-11-30;2.647,58;72,32;2,81%;2.583,21;2.557,45;2.657,74;
2017-10-31;2.575,26;55,9;2,22%;2.521,20;2.520,40;2.582,98;
2017-09-30;2.519,36;47,71;1,93%;2.474,42;2.446,55;2.519,44;
2017-08-31;2.471,65;1,35;0,05%;2.477,10;2.417,35;2.490,87;
2017-07-31;2.470,30;46,89;1,93%;2.431,39;2.407,70;2.484,04;
2017-06-30;2.423,41;11,61;0,48%;2.415,65;2.405,70;2.453,82;
2017-05-31;2.411,80;27,6;1,16%;2.388,50;2.352,72;2.418,71;
2017-04-30;2.384,20;21,48;0,91%;2.362,34;2.328,95;2.398,16;
2017-03-31;2.362,72;-0,92;-0,04%;2.380,13;2.322,25;2.400,98;
2017-02-28;2.363,64;84,77;3,72%;2.285,59;2.271,65;2.371,54;
2017-01-31;2.278,87;40,04;1,79%;2.251,57;2.245,13;2.300,99;
2016-12-31;2.238,83;40,02;1,82%;2.200,17;2.187,44;2.277,53;
2016-11-30;2.198,81;72,66;3,42%;2.128,68;2.083,79;2.214,10;
2016-10-31;2.126,15;-42,12;-1,94%;2.164,33;2.114,72;2.169,60;
2016-09-30;2.168,27;-2,68;-0,12%;2.171,33;2.119,12;2.187,87;
2016-08-31;2.170,95;-2,65;-0,12%;2.173,15;2.147,58;2.193,81;
2016-07-31;2.173,60;74,74;3,56%;2.099,34;2.074,02;2.177,09;
2016-06-30;2.098,86;1,9;0,09%;2.093,94;1.991,68;2.120,55;
2016-05-31;2.096,96;31,66;1,53%;2.067,17;2.025,91;2.103,48;
2016-04-30;2.065,30;5,56;0,27%;2.056,62;2.033,80;2.111,05;
2016-03-31;2.059,74;127,51;6,60%;1.937,09;1.937,09;2.072,21;
2016-02-29;1.932,23;-8,01;-0,41%;1.936,94;1.810,10;1.962,96;
2016-01-31;1.940,24;-103,7;-5,07%;2.038,20;1.812,29;2.038,20;
2015-12-31;2.043,94;-36,47;-1,75%;2.082,93;1.993,26;2.104,27;
2015-11-30;2.080,41;1,05;0,05%;2.080,76;2.019,39;2.116,48;
2015-10-31;2.079,36;159,33;8,30%;1.919,65;1.893,70;2.094,32;
2015-09-30;1.920,03;-52,15;-2,64%;1.970,09;1.871,91;2.020,86;
2015-08-31;1.972,18;-131,66;-6,26%;2.104,49;1.867,01;2.112,66;
2015-07-31;2.103,84;40,73;1,97%;2.067,00;2.044,02;2.132,82;
2015-06-30;2.063,11;-44,28;-2,10%;2.108,64;2.056,32;2.129,87;
2015-05-31;2.107,39;21,88;1,05%;2.087,38;2.067,93;2.134,72;
2015-04-30;2.085,51;17,62;0,85%;2.067,63;2.048,38;2.125,92;
2015-03-31;2.067,89;-36,61;-1,74%;2.105,23;2.039,69;2.117,52;
2015-02-28;2.104,50;109,51;5,49%;1.996,67;1.980,90;2.119,59;
2015-01-31;1.994,99;-63,91;-3,10%;2.058,90;1.988,12;2.072,36;
2014-12-31;2.058,90;-8,66;-0,42%;2.065,78;1.972,56;2.093,55;
2014-11-30;2.067,56;49,51;2,45%;2.018,21;2.001,01;2.075,76;
2014-10-31;2.018,05;45,76;2,32%;1.971,44;1.820,66;2.018,19;
2014-09-30;1.972,29;-31,08;-1,55%;2.004,07;1.964,04;2.019,26;
2014-08-31;2.003,37;72,7;3,77%;1.929,80;1.904,78;2.005,04;
2014-07-31;1.930,67;-29,56;-1,51%;1.962,29;1.930,67;1.991,39;
2014-06-30;1.960,23;36,66;1,91%;1.923,87;1.915,98;1.968,17;
2014-05-31;1.923,57;39,62;2,10%;1.884,39;1.859,79;1.924,03;
2014-04-30;1.883,95;11,61;0,62%;1.873,96;1.814,36;1.897,28;
2014-03-31;1.872,34;12,89;0,69%;1.857,68;1.834,44;1.883,97;
2014-02-28;1.859,45;76,86;4,31%;1.782,68;1.737,92;1.867,92;
2014-01-31;1.782,59;-65,77;-3,56%;1.845,86;1.770,45;1.850,84;
2013-12-31;1.848,36;42,55;2,36%;1.806,55;1.767,99;1.849,44;
